strategy_id,strategy_name,symbol,signal_date,score,entry_type,signal_open,signal_high,signal_low,signal_close,range_position_60,box_width_pct_20,breakout_above_box_ratio_20,dry_up_days_ratio_20,ret_1d_pct,volume_ratio_20,pullback_depth_pct,amount_ma20_yuan,box_stability_40,box_quality_60,box_quality_score,dry_up_score,pullback_stability_score,trigger_strength_score,name
box_rebound_v1,箱体反抽 V1,000001.SZ,2024-08-23,0.602881,box,36.185583,36.568683,34.374562,36.464201,0.953846,6.0,-0.285714,0.5,0.867052,1.238859,6.0,879842615.65,0.796901,0.84794,0.691779,0.666667,0.575435,0.417833,平安银行
box_rebound_v1,箱体反抽 V1,000001.SZ,2025-03-12,0.607202,box,41.283321,42.244226,40.571539,42.173048,0.819149,4.682274,-0.919732,0.5,2.067183,1.752955,4.682274,1246482129.5,0.826106,0.802072,0.618149,0.666667,0.558987,0.588847,平安银行
box_rebound_v1,箱体反抽 V1,000008.SZ,2025-08-08,0.65898,box,24.689741,25.840159,24.158779,25.574678,0.88,6.506849,-1.027397,0.5,3.584229,2.68663,6.506849,161589056.15,0.787297,0.796111,0.764403,0.666667,0.493694,0.67341,神州高铁
box_rebound_v1,箱体反抽 V1,000008.SZ,2025-08-20,0.552943,box,25.840159,26.10564,24.158779,25.928652,0.928571,7.457627,-0.677966,0.45,1.034483,1.402643,7.457627,172273405.5,0.780384,0.794224,0.723221,0.444444,0.476558,0.458939,神州高铁
box_rebound_v1,箱体反抽 V1,000009.SZ,2023-06-19,0.528973,box,27.875227,28.796723,25.594527,28.38205,0.921739,11.12,-1.44,0.5,1.399177,1.467966,11.12,315011898.4,0.343191,0.546821,0.5971,0.666667,0.381121,0.456873,中国宝安
box_rebound_v1,箱体反抽 V1,000009.SZ,2024-01-15,0.622671,box,27.070984,27.509848,26.193256,27.163376,0.880342,5.263158,-1.754386,0.55,0.426985,1.308609,5.263158,144771783.4,0.894189,0.688461,0.747935,0.888889,0.471217,0.326559,中国宝安
box_rebound_v1,箱体反抽 V1,000009.SZ,2025-07-25,0.613803,box,20.939454,21.357315,20.126948,21.032312,0.903226,6.168831,-1.948052,0.6,0.332226,1.302615,6.168831,212290398.55,0.387457,0.533231,0.726952,0.888889,0.480564,0.307255,中国宝安
box_rebound_v1,箱体反抽 V1,000012.SZ,2023-12-28,0.614944,box,17.845939,18.238877,17.551235,18.238877,0.824561,4.795737,-1.065719,0.6,2.201835,1.343913,4.795737,54006088.75,0.872586,0.788664,0.627444,0.888889,0.481334,0.486138,南玻Ａ
box_rebound_v1,箱体反抽 V1,000017.SZ,2025-05-28,0.51876,box,6.8,7.15,6.31,7.03,0.945205,11.748252,-1.678322,0.5,2.328967,1.74132,11.748252,183067345.9,0.217724,0.357812,0.452099,0.666667,0.461538,0.559039,深中华A
box_rebound_v1,箱体反抽 V1,000019.SZ,2022-12-01,0.541364,box,17.048025,17.766783,16.239423,17.632016,0.816456,9.284818,-1.505646,0.65,3.42556,1.849548,9.284818,85789276.8,0.45233,0.540252,0.443843,0.666667,0.502588,0.635195,深粮控股
