strategy_id,strategy_name,symbol,signal_date,score,entry_type,signal_open,signal_high,signal_low,signal_close,breakout_date,cup_depth_pct,handle_depth_pct,cup_days,handle_days,rim_gap_pct,breakout_ratio_pct,breakout_volume_ratio_20,confirmation_volume_ratio_20,confirmation_hold_buffer_pct,prior_runup_pct,consolidation_width_pct_60,rs_rating_120,ret_120d_pct,close_vs_ma120_pct,mcst_window,mcst_value,close_vs_mcst_pct,mcst_breakout_flag,fake_breakout_flag,base_shape_score,breakout_quality_score,confirmation_quality_score,trend_quality_score,name
cup_v1_legacy_mcst,杯柄 V1 旧版复原+MCST,000009.SZ,2025-09-12,0.810371,legacy_confirmed_cup,10.97,11.55,8.92,11.38,2025-09-10,23.924449,4.394427,147,18,2.098636,15.21511,1.376623,1.691946,10.598111,34.225352,31.179039,79.0,28.271028,27.575523,20,10.273493,10.770503,False,False,0.899324,0.827987,1.0,0.443055,中国宝安
cup_v1_legacy_mcst,杯柄 V1 旧版复原+MCST,000009.SZ,2025-09-29,0.80886,legacy_confirmed_cup,11.76,12.3,9.17,12.02,2025-09-25,24.400417,4.379562,132,20,6.360792,25.964546,2.84061,1.526514,20.542231,26.478873,29.397394,84.0,47.677262,36.695396,20,11.04709,8.806933,False,False,0.650464,1.0,1.0,0.655986,中国宝安
cup_v1_legacy_mcst,杯柄 V1 旧版复原+MCST,000014.SZ,2025-08-18,0.826464,legacy_confirmed_cup,15.33,16.7,11.85,16.53,2025-08-14,36.491488,7.421875,139,5,5.255366,6.957809,3.37278,2.467385,4.071058,76.832461,31.146497,85.0,40.838207,26.792387,20,14.122334,17.048638,False,False,0.661682,1.0,1.0,0.724377,沙河股份
cup_v1_legacy_mcst,杯柄 V1 旧版复原+MCST,000021.SZ,2024-10-25,0.704458,legacy_confirmed_cup,17.95,18.99,15.4,18.99,2024-10-23,20.039552,-2.325581,132,13,0.791035,15.55702,1.251982,1.421353,12.063283,49.017682,34.396971,84.0,35.262346,23.407975,20,16.653976,14.026822,False,False,0.507421,0.790595,0.960676,0.685382,深科技
cup_v1_legacy_mcst,杯柄 V1 旧版复原+MCST,000021.SZ,2025-09-29,0.692349,legacy_confirmed_cup,25.11,25.98,19.06,25.34,2025-09-25,32.382246,13.677536,130,5,3.306159,12.54529,2.344051,1.49255,10.461957,76.009893,29.710711,76.0,34.324324,32.062019,20,22.635068,11.950184,False,False,0.465904,1.0,0.996275,0.40014,深科技
cup_v1_legacy_mcst,杯柄 V1 旧版复原+MCST,000021.SZ,2025-10-09,0.642489,legacy_confirmed_cup,30.66,30.66,22.13,30.66,2025-09-29,32.778028,0.360198,146,6,3.87213,14.092751,1.432017,1.185334,13.057181,76.009893,30.138568,78.0,58.871473,33.648027,20,23.58462,29.999972,False,False,0.558215,0.844605,0.842667,0.337147,深科技
cup_v1_legacy_mcst,杯柄 V1 旧版复原+MCST,000026.SZ,2025-05-28,0.765675,legacy_confirmed_cup,13.78,14.48,11.15,14.34,2025-05-26,25.947282,8.15486,96,6,5.024712,12.438221,2.119138,1.528453,4.448105,35.328638,34.807832,89.0,35.148515,27.325161,20,12.507685,14.64951,False,False,0.58975,1.0,1.0,0.546313,飞亚达
cup_v1_legacy_mcst,杯柄 V1 旧版复原+MCST,000027.SZ,2024-04-17,0.659837,legacy_confirmed_cup,7.34,7.46,6.71,7.46,2024-04-15,17.974322,4.279601,152,10,1.141227,5.991441,1.34341,1.456859,2.425107,14.545455,22.922252,91.0,17.192429,16.468329,20,7.167968,4.074125,False,False,0.478369,0.818023,0.97843,0.461078,深圳能源
cup_v1_legacy_mcst,杯柄 V1 旧版复原+MCST,000045.SZ,2023-11-14,0.798621,legacy_confirmed_cup,13.25,13.52,11.9,13.29,2023-11-10,21.916667,0.833333,102,5,3.583333,8.416667,2.158428,1.312311,3.166667,29.273743,31.001473,91.0,27.299413,20.867721,20,12.004458,10.708874,False,False,0.791306,1.0,0.906156,0.452163,深纺织Ａ
cup_v1_legacy_mcst,杯柄 V1 旧版复原+MCST,000061.SZ,2025-09-10,0.645882,legacy_confirmed_cup,8.4,9.28,6.25,9.28,2025-09-08,21.086675,14.500684,76,9,5.433376,7.373868,1.377226,1.171697,2.97542,64.118896,32.578209,79.0,28.881988,23.991634,20,8.111274,14.408658,False,False,0.519535,0.828168,0.835848,0.449165,农产品
cup_v1_legacy_mcst,杯柄 V1 旧版复原+MCST,000063.SZ,2023-02-22,0.856684,legacy_confirmed_cup,29.82,30.98,27.69,30.64,2023-02-20,27.057133,0.503054,158,7,7.653611,6.252246,2.089556,2.018457,-0.071865,20.149603,24.388674,85.0,19.716599,19.522234,20,28.688899,6.800892,False,False,0.957447,1.0,0.741017,0.616869,中兴通讯
cup_v1_legacy_mcst,杯柄 V1 旧版复原+MCST,000070.SZ,2025-06-10,0.726542,legacy_confirmed_cup,7.03,7.17,6.42,7.05,2025-06-06,24.210526,3.458647,125,5,6.015038,5.864662,1.43932,1.310615,2.556391,61.498708,28.913963,82.0,18.120805,16.310768,20,6.688019,5.412382,False,False,0.603815,0.846796,0.905308,0.612232,特发信息
cup_v1_legacy_mcst,杯柄 V1 旧版复原+MCST,000156.SZ,2023-03-22,0.729282,legacy_confirmed_cup,8.66,8.69,7.88,8.69,2023-03-20,20.39072,3.785104,156,14,2.686203,4.273504,1.518818,1.078911,3.907204,13.049645,17.66055,79.0,21.306818,14.264052,20,8.292719,4.790721,False,False,0.743829,0.770752,0.789455,0.591812,华数传媒
cup_v1_legacy_mcst,杯柄 V1 旧版复原+MCST,000157.SZ,2023-07-19,0.694951,legacy_confirmed_cup,7.04,7.11,6.61,7.07,2023-07-17,10.962963,2.074074,91,5,3.555556,3.703704,1.492173,1.280138,1.777778,22.59887,14.751773,82.0,22.807018,9.356489,20,6.77607,4.337762,False,False,0.632099,0.684411,0.862291,0.650776,中联重科
cup_v1_legacy_mcst,杯柄 V1 旧版复原+MCST,000157.SZ,2024-02-08,0.55728,legacy_confirmed_cup,7.69,7.84,7.11,7.74,2024-02-06,17.367707,3.527815,132,5,4.070556,5.698779,1.667491,1.25922,-0.407056,24.035088,21.69448,97.0,19.295559,17.493276,20,7.264171,6.550354,False,False,0.465156,0.915247,0.578728,0.249589,中联重科
cup_v1_legacy_mcst,杯柄 V1 旧版复原+MCST,000158.SZ,2023-03-24,0.751325,legacy_confirmed_cup,7.69,8.5,6.56,8.5,2023-03-22,24.435028,5.475504,150,10,1.977401,5.79096,2.128993,2.412094,-0.706215,45.379877,27.463863,83.0,29.584775,21.795219,20,7.148076,18.913113,False,False,0.697519,1.0,0.661723,0.624243,常山北明
cup_v1_legacy_mcst,杯柄 V1 旧版复原+MCST,000166.SZ,2024-10-08,0.63008,legacy_confirmed_cup,6.29,6.29,4.16,6.29,2024-09-27,13.333333,10.151188,66,5,3.541667,8.333333,3.218975,2.849956,0.625,18.226601,20.0,92.0,15.299335,16.058476,20,4.858004,29.477032,False,False,0.373923,1.0,0.828125,0.417911,申万宏源
cup_v1_legacy_mcst,杯柄 V1 旧版复原+MCST,000408.SZ,2024-01-08,0.742841,legacy_confirmed_cup,26.79,27.25,24.49,26.77,2024-01-04,16.131621,1.725522,154,5,1.605136,8.146067,1.998594,1.559407,5.136437,13.151823,22.592593,91.0,17.12299,14.547618,20,25.231412,6.097908,False,False,0.546174,1.0,1.0,0.508402,藏格矿业
cup_v1_legacy_mcst,杯柄 V1 旧版复原+MCST,000410.SZ,2022-08-29,0.77117,legacy_confirmed_cup,5.78,6.08,5.02,6.08,2022-08-25,35.361217,4.562738,151,19,0.760456,10.456274,2.258673,1.501951,7.984791,30.827068,25.493421,87.0,19.301848,22.599705,20,5.561018,9.332496,False,False,0.650876,1.0,1.0,0.466819,沈阳机床
cup_v1_legacy_mcst,杯柄 V1 旧版复原+MCST,000410.SZ,2023-02-07,0.652716,legacy_confirmed_cup,6.23,6.33,5.34,6.29,2023-02-03,12.645591,11.148087,40,7,2.66223,3.826955,3.730253,1.494494,0.499168,72.058824,16.30094,84.0,24.302789,8.507586,20,6.014918,4.573331,False,False,0.395472,0.838706,0.809643,0.713476,沈阳机床
cup_v1_legacy_mcst,杯柄 V1 旧版复原+MCST,000410.SZ,2023-04-28,0.635434,legacy_confirmed_cup,6.75,6.99,5.7,6.94,2023-04-26,16.534181,9.379968,101,5,1.90779,4.769475,2.771005,1.425436,3.656598,81.470588,18.918919,73.0,15.817223,11.682296,20,6.510156,6.602662,False,False,0.385941,0.968303,0.962718,0.328678,沈阳机床
cup_v1_legacy_mcst,杯柄 V1 旧版复原+MCST,000415.SZ,2025-12-22,0.570833,legacy_confirmed_cup,4.09,4.11,3.61,4.07,2025-12-18,14.175258,6.958763,95,5,5.927835,4.639175,1.690423,1.21218,-0.515464,41.472868,17.401961,71.0,19.764012,13.233859,20,3.796549,7.202613,False,False,0.511764,0.872513,0.541657,0.326276,渤海租赁
cup_v1_legacy_mcst,杯柄 V1 旧版复原+MCST,000425.SZ,2023-07-25,0.622757,legacy_confirmed_cup,7.09,7.3,6.47,7.19,2023-07-21,14.475628,4.431315,89,7,0.443131,5.760709,1.213265,1.147592,3.249631,55.658199,19.917012,90.0,28.315412,9.154661,20,6.888397,4.37842,False,False,0.410799,0.77898,0.823796,0.597365,徐工机械
cup_v1_legacy_mcst,杯柄 V1 旧版复原+MCST,000426.SZ,2023-04-13,0.749442,legacy_confirmed_cup,9.08,9.44,7.41,9.28,2023-04-11,29.61039,3.766234,146,20,1.558442,16.883117,2.063027,1.636462,6.753247,28.692699,31.758242,93.0,56.521739,34.005013,20,8.303598,11.758781,False,False,0.688875,1.0,1.0,0.291679,兴业银锡
cup_v1_legacy_mcst,杯柄 V1 旧版复原+MCST,000501.SZ,2023-03-08,0.621645,legacy_confirmed_cup,11.75,12.06,11.49,11.96,2023-03-06,19.014693,0.691443,151,7,2.765774,3.111495,1.335876,1.063464,1.210026,18.421053,15.447823,71.0,15.488867,12.598512,20,11.488658,4.102676,False,False,0.829023,0.556094,0.682985,0.279334,武商集团
cup_v1_legacy_mcst,杯柄 V1 旧版复原+MCST,000506.SZ,2023-03-16,0.763669,legacy_confirmed_cup,4.98,5.05,3.09,5.05,2023-03-14,18.617021,17.819149,41,6,2.393617,10.904255,4.577252,3.547925,4.521277,69.907407,24.460432,83.0,29.906542,20.265334,20,4.081386,23.73247,False,False,0.515793,1.0,1.0,0.665708,招金黄金
cup_v1_legacy_mcst,杯柄 V1 旧版复原+MCST,000513.SZ,2023-04-04,0.562286,legacy_confirmed_cup,36.75,37.26,33.8,37.12,2023-03-31,10.73509,5.928194,84,7,0.332871,3.68932,4.107512,1.539308,-1.248266,24.82687,14.335015,70.0,22.758621,7.049783,20,35.632035,4.175918,False,False,0.579374,0.819782,0.593967,0.178831,丽珠集团
