strategy_id,strategy_name,symbol,name,entry_type,signal_date,entry_date,exit_date,score,entry_price,exit_price,stop_price,hold_days,return_pct,max_favorable_excursion_pct,max_adverse_excursion_pct,exit_reason,signal_close,signal_low
cup_v1_strict_breakout,杯柄 V1 严格突破,000001.SZ,平安银行,cup_breakout,2023-01-05,2023-01-06,2023-02-02,0.465748,14.5,14.6,13.63,15,0.6896551724137945,8.55172413793104,-1.5862068965517229,max_hold,14.48,12.67
cup_v1_strict_breakout,杯柄 V1 严格突破,000001.SZ,平安银行,cup_breakout,2024-04-18,2024-04-19,2024-05-14,0.482958,10.71,10.91,10.0674,15,1.867413632119508,3.734827264239016,-2.4276377217553824,max_hold,10.8,10.04
cup_v1_strict_breakout,杯柄 V1 严格突破,000001.SZ,平安银行,cup_breakout,2024-04-29,2024-04-30,2024-05-23,0.459289,10.8,11.4,10.152,15,5.555555555555558,8.703703703703702,-0.8333333333333304,max_hold,10.81,10.04
cup_v1_strict_breakout,杯柄 V1 严格突破,000001.SZ,平安银行,cup_breakout,2024-05-10,2024-05-13,2024-05-31,0.469241,10.9,11.11,10.246,15,1.9266055045871424,7.706422018348613,-0.8256880733944927,max_hold,10.94,10.04
cup_v1_strict_breakout,杯柄 V1 严格突破,000001.SZ,平安银行,cup_breakout,2025-06-25,2025-06-26,2025-07-16,0.484907,12.05,12.64,11.327,15,4.89626556016598,10.622406639004131,-0.7468879668049766,max_hold,12.06,11.52
cup_v1_strict_breakout,杯柄 V1 严格突破,000001.SZ,平安银行,cup_breakout,2025-07-07,2025-07-08,2025-07-28,0.511561,12.75,12.46,11.985,15,-2.274509803921565,4.54901960784313,-3.37254901960784,max_hold,12.78,11.96
cup_v1_strict_breakout,杯柄 V1 严格突破,000006.SZ,深振业Ａ,cup_breakout,2022-06-29,2022-06-30,2022-07-06,0.511939,4.7,4.418,4.418,5,-6.000000000000005,2.9787234042553123,-6.17021276595745,stop_loss,4.78,4.15
cup_v1_strict_breakout,杯柄 V1 严格突破,000006.SZ,深振业Ａ,cup_breakout,2024-09-13,2024-09-18,2024-10-15,0.595683,4.25,5.84,3.995,15,37.41176470588235,43.76470588235295,-2.8235294117647136,max_hold,4.33,4.03
cup_v1_strict_breakout,杯柄 V1 严格突破,000006.SZ,深振业Ａ,cup_breakout,2024-09-23,2024-09-24,2024-10-21,0.569954,4.42,6.94,4.1548,15,57.0135746606335,57.0135746606335,-3.393665158371051,max_hold,4.34,4.03
cup_v1_strict_breakout,杯柄 V1 严格突破,000006.SZ,深振业Ａ,cup_breakout,2024-10-16,2024-10-17,2024-11-06,0.624611,5.86,8.54,5.5084,15,45.733788395904405,74.40273037542661,-2.730375426621168,max_hold,5.98,4.03
