strategy_id,strategy_name,symbol,signal_date,score,entry_type,signal_open,signal_high,signal_low,signal_close,strategy_family,entry_variant,mcst_mode,base_start_date,base_end_date,first_breakout_date,handle_low_date,handle_prep_date,throwback_hold_date,second_breakout_date,base_length_days,base_width_pct,base_drift_pct,breakout_leg_pct,washout_count,base_dryup_count,base_dryup_tail_count,first_breakout_ratio_pct,first_breakout_vol_ratio,handle_length_days,handle_depth_pct,handle_bottom_dryup_flag,handle_volume_contraction_ratio,handle_range_contraction_ratio,handle_volume_contract_share,handle_range_contract_share,rim_approach_distance_pct,pullback_depth_pct,pullback_stability,pullback_vol_ratio_vs_breakout,throwback_reclaim_ratio,throwback_close_strength,throwback_day_pct,second_breakout_vol_ratio,second_breakout_day_pct,mcst_value_first,mcst_value_signal,mcst_distance_first_pct,mcst_distance_signal_pct,mcst_distance_second_pct,mcst_slope_first_pct,mcst_slope_signal_pct,mcst_slope_second_pct,rs_rating_120,ret_120d_pct,close_vs_ma120_pct,rsi14,name
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,000001.SZ,2024-04-29,0.597129,bottom_staging_handle_breakout_confirm,10.56,10.9,10.45,10.81,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2023-11-30,2024-04-16,2024-04-17,2024-04-22,2024-04-29,2024-04-29,2024-04-29,90,15.202186,11.366229,16.065574,3,27,12,0.749455,1.864524,7,1.626794,True,0.547629,0.565885,0.5,0.5,0.0,1.626794,0.578296,0.896591,2.117647,0.763158,1.9811,1.531568,1.9811,10.427539,10.520778,1.845699,2.749058,2.749058,-0.481706,0.294502,0.294502,79.0,3.34608,8.575016,61.319796,平安银行
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,000099.SZ,2023-06-14,0.636897,bottom_staging_handle_breakout_confirm,9.84,9.89,8.29,9.52,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2023-01-11,2023-05-29,2023-05-30,2023-06-06,,,2023-06-14,90,9.77027,9.647711,13.378378,3,24,9,3.286963,1.680882,10,1.206273,True,0.648611,0.943153,0.75,0.5,0.0,1.206273,0.575618,0.61787,,,,2.127196,-5.6492,8.178026,9.515686,2.591989,0.045341,0.045341,0.994656,13.825442,13.825442,84.0,24.444444,20.667983,60.086083,中信海直
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,000155.SZ,2024-11-06,0.463288,bottom_staging_handle_breakout_confirm,11.83,12.1,11.27,11.87,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2024-06-12,2024-10-24,2024-10-25,2024-10-30,2024-10-31,2024-10-31,2024-11-06,90,23.536401,1.700053,26.701231,3,20,6,2.561861,1.271151,7,4.081633,False,0.685433,1.469822,1.0,0.5,0.0,4.081633,0.544309,0.594881,1.043478,0.805556,2.5305,1.120538,0.3381,11.343549,11.558803,3.406788,2.692296,2.692296,1.891682,0.967898,0.967898,28.0,-3.964401,11.792175,61.271151,川能动力
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,000166.SZ,2023-03-01,0.53235,bottom_staging_handle_breakout_confirm,4.22,4.26,4.16,4.25,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2022-09-30,2023-02-17,2023-02-20,2023-02-28,2023-03-01,2023-03-01,2023-03-01,90,6.345178,6.451613,7.360406,3,25,10,0.954654,1.470147,6,1.682692,False,0.702353,1.29349,0.6,0.4,0.0,1.682692,0.827802,0.510827,1.285714,0.833333,0.7109,1.151989,0.7109,4.196018,4.21136,0.809864,0.91752,0.91752,0.558889,0.131861,0.131861,50.0,2.657005,4.222013,58.593277,申万宏源
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,000403.SZ,2024-05-06,0.606984,bottom_staging_handle_breakout_confirm,29.5,30.34,28.41,30.34,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2023-11-28,2024-04-12,2024-04-15,2024-04-29,2024-05-06,2024-05-06,2024-05-06,90,15.734559,0.0,18.289027,4,27,12,2.207178,1.527341,11,4.153467,False,1.239922,1.108885,0.666667,0.555556,0.0,4.153467,0.664077,0.66563,1.635593,1.0,3.5848,2.110845,3.5848,28.358163,29.335478,4.343853,3.424257,3.424257,0.803974,1.968509,1.968509,93.0,27.962885,11.840852,62.559404,派林生物
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,000429.SZ,2022-05-30,0.544315,bottom_staging_handle_breakout_confirm,8.26,8.45,7.86,8.38,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2021-12-23,2022-05-12,2022-05-13,2022-05-19,2022-05-27,2022-05-27,2022-05-30,90,9.063609,7.707635,10.565111,1,29,9,1.376721,1.258392,10,3.053435,False,1.41807,1.696888,0.333333,0.333333,0.0,3.053435,0.598538,0.632496,1.708333,1.0,0.9768,1.344519,1.3301,7.948311,8.016506,1.908448,4.534319,4.534319,-0.143818,0.501147,0.501147,91.0,20.57554,9.991797,63.611125,粤高速Ａ
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,000547.SZ,2025-08-06,0.569752,bottom_staging_handle_breakout_confirm,8.34,8.61,8.01,8.53,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2025-03-13,2025-07-23,2025-07-24,2025-08-04,,,2025-08-06,90,16.410554,5.35493,18.440128,1,46,17,1.743462,1.970049,8,1.997503,False,1.06344,1.752604,0.333333,0.666667,0.0,1.997503,0.641579,0.603278,,,,1.66978,2.0335,8.078088,8.10423,1.137799,5.253675,5.253675,0.986114,0.844975,0.844975,63.0,16.689466,13.089977,66.698317,航天发展
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,000581.SZ,2024-03-26,0.52998,bottom_staging_handle_breakout_confirm,16.92,17.39,16.91,17.32,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2023-10-17,2024-02-28,2024-02-29,2024-03-05,2024-03-18,2024-03-18,2024-03-26,90,13.645237,2.563265,16.122518,2,16,5,2.179837,1.239678,17,2.010645,True,0.710777,0.823414,0.5,0.5,0.0,2.010645,0.706038,0.75949,1.382353,0.962963,1.5187,1.049121,2.3036,16.641802,17.119763,3.654639,1.169622,1.169622,1.614986,0.388286,0.388286,78.0,2.485207,7.051249,57.577515,威孚高科
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,000581.SZ,2024-04-12,0.557985,bottom_staging_handle_breakout_confirm,17.31,17.97,16.88,17.75,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2023-11-16,2024-03-29,2024-04-01,2024-04-10,2024-04-11,2024-04-11,2024-04-12,90,16.129249,5.017598,16.593739,2,24,10,0.399977,1.393905,6,2.606635,False,1.218059,1.785704,0.75,0.5,0.0,2.606635,0.764741,0.685652,0.886364,0.698113,1.5882,1.945977,2.7794,17.147638,17.214213,1.005164,3.11247,3.11247,0.281565,0.355784,0.355784,82.0,3.922717,9.551559,62.234267,威孚高科
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,000651.SZ,2023-02-28,0.4972,bottom_staging_handle_breakout_confirm,35.35,35.74,34.54,35.52,cup_v3_bottom_staging,handle_breakout_confirm,rolling_1m,2022-09-30,2023-02-17,2023-02-20,2023-02-27,2023-02-28,2023-02-28,2023-02-28,90,15.146893,10.099119,16.552822,2,27,8,1.220987,2.013231,5,1.766068,False,0.921167,1.183315,0.5,0.5,0.0,1.766068,0.56957,0.876105,1.606557,0.728395,0.8804,1.056581,0.8804,34.789082,35.256239,1.037445,0.748126,0.748126,0.202861,1.086161,1.086161,79.0,17.810945,7.887283,54.753232,格力电器
