strategy_id,strategy_name,symbol,name,entry_type,signal_date,entry_date,exit_date,score,entry_price,exit_price,stop_price,final_stop_price,stop_source,hold_days,return_pct,max_favorable_excursion_pct,max_adverse_excursion_pct,exit_reason,signal_close,signal_low
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,000001.SZ,平安银行,bottom_staging_handle_breakout_confirm,2024-04-29,2024-04-30,2024-05-15,0.597129,10.8,10.83,10.45,10.45,signal_low,9,0.2777777777777768,2.8703703703703676,-0.8333333333333304,trend_exit_ma10,10.81,10.45
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,000099.SZ,中信海直,bottom_staging_handle_breakout_confirm,2023-06-14,2023-06-15,2023-06-19,0.636897,9.5,9.64,8.29,8.29,signal_low,3,1.473684210526316,3.0526315789473513,-1.2631578947368327,trend_exit_ma10,9.52,8.29
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,000155.SZ,川能动力,bottom_staging_handle_breakout_confirm,2024-11-06,2024-11-07,2024-11-13,0.463288,11.73,12.21,11.27,12.29,peak_drawdown,5,4.092071611253201,8.525149190110826,-0.4262574595055524,gap_stop,11.87,11.27
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,000166.SZ,申万宏源,bottom_staging_handle_breakout_confirm,2023-03-01,2023-03-02,2023-03-07,0.53235,4.25,4.21,4.16,4.16,signal_low,4,-0.9411764705882342,1.17647058823529,-0.9411764705882342,trend_exit_ma10,4.25,4.16
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,000403.SZ,派林生物,bottom_staging_handle_breakout_confirm,2024-05-06,2024-05-07,2024-05-09,0.606984,30.46,29.76,28.41,28.41,signal_low,3,-2.2980958634274407,0.06565988181221893,-5.449770190413661,trend_exit_ma10,30.34,28.41
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,000429.SZ,粤高速Ａ,bottom_staging_handle_breakout_confirm,2022-05-30,2022-05-31,2022-06-06,0.544315,8.37,8.13,7.86,7.86,signal_low,4,-2.8673835125447855,3.1063321385902176,-3.703703703703687,trend_exit_ma10,8.38,7.86
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,000547.SZ,航天发展,bottom_staging_handle_breakout_confirm,2025-08-06,2025-08-07,2025-08-13,0.569752,8.53,8.99,8.01,9.1,peak_drawdown,5,5.392731535756168,12.895662368112571,-1.289566236811246,gap_stop,8.53,8.01
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,000581.SZ,威孚高科,bottom_staging_handle_breakout_confirm,2024-03-26,2024-03-27,2024-03-27,0.52998,17.32,16.91,16.91,16.91,signal_low,1,-2.3672055427251704,0.0,-3.4642032332563577,stop_loss,17.32,16.91
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,000581.SZ,威孚高科,bottom_staging_handle_breakout_confirm,2024-04-12,2024-04-15,2024-04-23,0.557985,17.77,17.9477,16.88,17.9477,profit_lock,7,1.0000000000000009,7.934721440630277,-2.419808666291501,stop_loss,17.75,16.88
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,000651.SZ,格力电器,bottom_staging_handle_breakout_confirm,2023-02-28,2023-03-01,2023-03-07,0.4972,35.52,36.24,34.54,35.87520000000001,profit_lock,5,2.0270270270270174,5.658783783783772,-0.3096846846847079,trend_exit_ma10,35.52,34.54
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,000651.SZ,格力电器,bottom_staging_handle_breakout_confirm,2023-04-11,2023-04-12,2023-04-25,0.53874,39.42,41.29,36.5,41.29,peak_drawdown,10,4.743784880771185,8.117706747843734,-2.9680365296803735,stop_loss,39.4,36.5
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,000729.SZ,燕京啤酒,bottom_staging_handle_breakout_confirm,2024-05-06,2024-05-07,2024-05-20,0.521931,10.1,10.06,9.27,9.27,signal_low,10,-0.3960396039603853,3.2673267326732702,-2.07920792079207,trend_exit_ma10,10.14,9.27
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,000738.SZ,航发控制,bottom_staging_handle_breakout_confirm,2022-07-04,2022-07-05,2022-07-12,0.471457,28.7,28.58,27.53,27.53,signal_low,6,-0.4181184668989535,3.832752613240431,-2.6132404181184676,trend_exit_ma10,28.7,27.53
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,000777.SZ,中核科技,bottom_staging_handle_breakout_confirm,2023-06-28,2023-06-29,2023-07-07,0.490102,13.24,13.38,12.61,12.61,signal_low,7,1.0574018126888296,4.8338368580060465,-0.3776435045317328,trend_exit_ma10,13.32,12.61
