strategy_id,strategy_name,symbol,signal_date,score,entry_type,signal_open,signal_high,signal_low,signal_close,strategy_family,entry_variant,mcst_mode,base_start_date,base_end_date,first_breakout_date,handle_low_date,handle_prep_date,throwback_hold_date,second_breakout_date,base_length_days,base_width_pct,base_drift_pct,breakout_leg_pct,washout_count,base_dryup_count,base_dryup_tail_count,first_breakout_ratio_pct,first_breakout_vol_ratio,handle_length_days,handle_depth_pct,handle_bottom_dryup_flag,handle_volume_contraction_ratio,handle_range_contraction_ratio,handle_volume_contract_share,handle_range_contract_share,rim_approach_distance_pct,pullback_depth_pct,pullback_stability,pullback_vol_ratio_vs_breakout,throwback_reclaim_ratio,throwback_close_strength,throwback_day_pct,second_breakout_vol_ratio,second_breakout_day_pct,mcst_value_first,mcst_value_signal,mcst_distance_first_pct,mcst_distance_signal_pct,mcst_distance_second_pct,mcst_slope_first_pct,mcst_slope_signal_pct,mcst_slope_second_pct,rs_rating_120,ret_120d_pct,close_vs_ma120_pct,rsi14,name
cup_v3_handle_prep,杯柄 V3 柄底预备,000030.SZ,2023-09-11,0.62576,bottom_staging_handle_prep,10.110982,10.373605,9.904635,10.373605,cup_v3_bottom_staging,handle_prep,rolling_1m,2023-03-06,2023-08-28,2023-08-29,2023-09-08,2023-09-11,2023-09-11,2023-09-11,120,21.364891,12.737475,21.971379,3,29,9,0.499722,1.824824,8,2.840909,False,0.624984,0.952161,1.0,0.571429,0.0,2.840909,0.642432,0.568386,1.666667,1.0,4.143126,1.335768,4.143126,9.986864,10.003836,1.994147,3.696265,3.696265,-0.901323,0.164793,0.164793,91.0,23.400061,12.512568,59.738746,富奥股份
cup_v3_handle_prep,杯柄 V3 柄底预备,000338.SZ,2024-02-05,0.583239,bottom_staging_handle_prep,194.42632,200.075193,191.536199,198.367394,cup_v3_bottom_staging,handle_prep,rolling_1m,2023-07-31,2024-01-23,2024-01-24,2024-02-02,2024-02-05,2024-02-05,2024-02-05,120,23.05874,16.25699,24.148204,3,34,9,0.88532,1.552924,7,0.823045,False,1.006705,1.633084,0.666667,0.333333,0.0,0.823045,0.65987,0.650871,4.333333,0.729167,0.935829,1.62975,0.935829,186.998242,192.579275,3.269757,3.005577,3.005577,1.13908,1.696593,1.696593,97.0,21.580775,12.460469,61.621847,潍柴动力
cup_v3_handle_prep,杯柄 V3 柄底预备,000404.SZ,2022-04-12,0.616196,bottom_staging_handle_prep,5.474687,5.756041,5.416072,5.744318,cup_v3_bottom_staging,handle_prep,rolling_1m,2021-09-23,2022-03-24,2022-03-25,2022-03-29,2022-04-12,2022-04-12,2022-03-31,120,15.295567,11.957426,17.487685,3,25,6,1.901303,2.054181,9,3.246753,True,0.858717,0.885506,1.0,1.0,0.0,3.246753,0.495748,0.595927,1.866667,0.964286,3.157895,2.215612,5.75693,5.324318,5.473112,5.025995,4.95525,7.788017,0.212095,1.211052,1.693842,87.0,21.588089,9.107103,59.360391,长虹华意
cup_v3_handle_prep,杯柄 V3 柄底预备,000429.SZ,2022-05-27,0.567519,bottom_staging_handle_prep,12.275941,12.320635,11.709818,12.320635,cup_v3_bottom_staging,handle_prep,rolling_1m,2021-11-11,2022-05-12,2022-05-13,2022-05-19,2022-05-27,2022-05-27,2022-05-30,120,12.761743,12.699014,14.601019,4,40,14,1.631117,1.258392,9,3.053435,False,1.41807,1.696888,0.333333,0.333333,0.0,3.053435,0.598538,0.632496,1.708333,1.0,0.976801,1.344519,1.330109,11.841383,11.889667,1.908448,3.624726,4.534319,-0.143818,0.127154,0.501147,90.0,17.806268,8.718039,60.228824,粤高速Ａ
cup_v3_handle_prep,杯柄 V3 柄底预备,000429.SZ,2023-01-20,0.625393,bottom_staging_handle_prep,12.335533,12.41553,12.175539,12.399531,cup_v3_bottom_staging,handle_prep,rolling_1m,2022-07-07,2022-12-29,2022-12-30,2023-01-12,2023-01-20,2023-01-20,,120,5.385675,2.495305,7.713499,4,43,13,2.208862,1.926839,13,2.759527,True,0.766039,0.652597,0.571429,0.714286,2.451613,2.759527,0.740748,0.36445,0.666667,0.888889,0.780234,,,12.343847,12.356864,1.358408,0.345291,,0.760041,0.092218,,71.0,5.874317,4.279964,56.231621,粤高速Ａ
cup_v3_handle_prep,杯柄 V3 柄底预备,000686.SZ,2026-01-09,0.622598,bottom_staging_handle_prep,24.156159,24.864402,23.574388,24.484986,cup_v3_bottom_staging,handle_prep,rolling_1m,2025-07-02,2025-12-24,2025-12-25,2025-12-31,2026-01-09,2026-01-09,2026-01-06,120,15.795229,17.784219,17.325019,5,42,16,1.321117,1.667588,8,2.038627,False,0.740459,1.062366,0.666667,0.333333,0.0,2.038627,0.691951,0.487479,1.894737,0.605263,1.573977,2.346918,6.057386,23.581979,23.958037,2.005777,2.199469,5.620941,-0.636928,1.019432,1.11399,63.0,21.274395,9.462269,55.79249,东北证券
cup_v3_handle_prep,杯柄 V3 柄底预备,000726.SZ,2022-06-28,0.582808,bottom_staging_handle_prep,10.624924,10.849079,10.251333,10.77436,cup_v3_bottom_staging,handle_prep,rolling_1m,2021-12-08,2022-06-09,2022-06-10,2022-06-23,2022-06-28,2022-06-28,2022-07-05,120,16.336794,15.945182,17.942894,3,41,14,1.380561,1.611753,11,4.939142,False,1.098869,1.691276,0.5,0.375,0.66904,4.939142,0.470057,0.734881,1.032981,0.782609,2.269504,2.134126,3.825137,10.584334,10.622517,1.637583,1.429453,5.4912,0.478555,0.083061,1.350567,87.0,15.759703,7.170844,54.657944,鲁泰Ａ
cup_v3_handle_prep,杯柄 V3 柄底预备,000766.SZ,2025-04-29,0.614521,bottom_staging_handle_prep,17.8,18.36,17.53,18.17,cup_v3_bottom_staging,handle_prep,rolling_1m,2024-10-15,2025-04-10,2025-04-11,2025-04-18,2025-04-29,2025-04-29,2025-05-13,120,21.717452,14.714002,22.922438,3,42,8,0.989986,1.403449,11,1.254991,True,0.499406,0.590941,0.75,0.75,0.0,1.254991,0.454131,0.789483,2.909091,0.728571,1.849776,1.735645,4.088219,17.484543,17.763387,1.51824,2.28905,7.08671,-1.264008,0.124703,2.042724,82.0,18.448501,13.158195,55.182794,通化金马
cup_v3_handle_prep,杯柄 V3 柄底预备,000848.SZ,2023-03-01,0.61594,bottom_staging_handle_prep,69.766775,70.535131,68.691076,70.535131,cup_v3_bottom_staging,handle_prep,rolling_1m,2022-08-11,2023-02-10,2023-02-13,2023-02-20,2023-03-01,2023-03-01,,120,11.109727,7.515054,13.339146,3,41,13,2.006502,1.475269,11,1.789709,False,0.784547,1.17031,1.0,0.75,0.0,1.789709,0.615889,0.789499,1.5,1.0,0.990099,,,69.613798,69.609265,0.440499,1.33009,,0.976744,0.318036,,65.0,9.155767,8.243016,56.950525,承德露露
cup_v3_handle_prep,杯柄 V3 柄底预备,000902.SZ,2025-06-30,0.615449,bottom_staging_handle_prep,32.607707,33.158351,31.98524,33.110469,cup_v3_bottom_staging,handle_prep,rolling_1m,2024-12-10,2025-06-11,2025-06-12,2025-06-27,2025-06-30,2025-06-30,2025-06-30,120,14.340123,5.332339,15.649282,3,39,17,1.14497,1.473569,11,2.245509,False,1.218962,1.248481,0.7,0.6,0.0,2.245509,0.696467,0.717513,1.566667,0.945946,1.616458,1.37764,1.616458,32.121502,32.407508,1.811775,2.169131,2.169131,0.274286,0.37675,0.37675,56.0,9.120022,8.218354,57.644375,新洋丰
