strategy_id,strategy_name,signal_count,trade_count,win_rate,average_return_pct,annualized_return_pct,sharpe,max_drawdown_pct,average_hold_days,profit_factor,best_trade_pct,worst_trade_pct,last_backtest_time,run_id,run_scope,core_parameters,parameter_summary,notes_excerpt,composite_score,badges
box_rebound_v1,箱体反抽 V1,21157,21144,35.89670828603859,0.37261559317806975,-3.816303,-0.15318971197629144,-41.6782833609157,13.422152856602345,1.1052504618341044,281.70731707317077,-43.05739222427929,2026-04-06T00:50:49,,,"{'box_lookback_days': 60, 'box_recent_days': 20, 'breakout_buffer_pct': -2.0, 'range_position_min': 0.8, 'volume_ratio_min': 1.05, 'box_width_20_max_pct': 22.0, 'dry_up_days_ratio_min': 0.35, 'ret_1d_min_pct': 0.0, 'min_close_above_ma': 20}",[],箱体反抽版，强调整理后的强势回踩、缩量企稳和再次启动，而不是超跌反弹。；股票池：宽松 A 股池，默认剔除 ST/*ST 与北交所标的。,21.457044,"['当前主线', '信号最多']"
cup_v1_strict_breakout,杯柄 V1 严格突破,19076,19055,34.69430595644188,-0.0441553104063512,-8.123955,-0.3830339656171649,-49.750634447317665,10.091472054578851,0.9875300955934992,242.49999999999997,-48.71794871794871,2026-04-06T01:39:01,,,"{'lookback_days': 120, 'cup_min_depth_pct': 12.0, 'cup_max_depth_pct': 28.0, 'cup_min_days': 25, 'cup_max_days': 120, 'handle_min_days': 5, 'handle_max_days': 18, 'handle_max_depth_pct': 18.0, 'rim_tolerance_pct': 5.0, 'breakout_buffer_pct': -1.0, 'volume_ratio_min': 1.1, 'min_close_above_ma': 20}",[],经典杯柄基线版，优先看形态完整度、突破接近度和量能确认。；股票池：宽松 A 股池，默认剔除 ST/*ST 与北交所标的。,19.169428,[]
cup_v2_trend_scored,杯柄 V2 趋势增强,10794,10779,30.689303274886353,-0.13368180627440057,-8.441362,-0.3595742686723624,-45.61653438422145,8.86362371277484,0.9514430501165863,625.8454106280194,-45.03331314354937,2026-04-06T00:50:48,,,"{'lookback_days': 140, 'cup_min_depth_pct': 10.0, 'cup_max_depth_pct': 30.0, 'cup_min_days': 25, 'cup_max_days': 140, 'handle_min_days': 5, 'handle_max_days': 20, 'handle_max_depth_pct': 22.0, 'rim_tolerance_pct': 6.0, 'breakout_buffer_pct': -0.5, 'volume_ratio_min': 1.15, 'min_close_above_ma': 20, 'close_vs_ma60_min_pct': 3.0, 'ma20_slope_min_pct': 0.0, 'box_width_20_max_pct': 18.0}",[],杯柄增强版，在基础杯柄上叠加强右侧趋势、箱体稳定度和近端突破质量。；股票池：宽松 A 股池，默认剔除 ST/*ST 与北交所标的。,10.847164,[]
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,269,269,49.07063197026022,0.8618722077339614,28.10776,1.5407352525842015,-17.09618294722135,5.092936802973978,1.6730700854813556,25.743776563448705,-21.53846153846154,2026-04-08T02:08:14,20260408-014758-ba-56a2ef,official,"{'lookback_days': 260, 'base_length_days': 90, 'base_width_max_pct': 28.0, 'base_drift_max_pct': 18.0, 'washout_count_min': 0, 'washout_count_max': 4, 'washout_probe_pct': 1.0, 'washout_reentry_days': 5, 'base_dryup_mode': 'either', 'base_dryup_count_min': 0, 'base_dryup_tail_count_min': 0, 'base_dryup_vol_ratio_max': 0.7, 'base_dryup_percentile_max': 0.15, 'first_breakout_buffer_pct': 0.3, 'first_breakout_ratio_max_pct': 7.0, 'first_breakout_vol_ratio_min': 1.2, 'first_breakout_vol_ratio_max': 2.2, 'breakout_day_pct_max': 6.5, 'handle_min_days': 5, 'handle_max_days': 20, 'handle_depth_max_pct': 12.0, 'handle_bottom_dryup_required': False, 'handle_volume_contraction_ratio_max': 0.95, 'handle_range_contraction_ratio_max': 0.95, 'handle_volume_contract_share_min': 0.45, 'handle_range_contract_share_min': 0.45, 'handle_near_low_days': 2, 'pullback_min_days': 2, 'pullback_max_days': 12, 'pullback_depth_max_pct': 6.0, 'pullback_depth_rise_ratio_max': 0.75, 'pullback_stability_min': 0.3, 'pullback_volume_ratio_max': 0.95, 'second_breakout_search_days': 30, 'second_breakout_vol_ratio_min': 1.0, 'second_breakout_vol_ratio_max': 2.6, 'second_breakout_day_pct_max': 7.0, 'second_breakout_buffer_pct': 0.0, 'rim_approach_max_distance_pct': 6.0, 'mcst_mode': 'rolling_1m', 'mcst_min_distance_pct': 0.0, 'mcst_pullback_tolerance_pct': -1.0, 'handle_prep_reclaim_ratio_min': 0.35, 'handle_prep_close_strength_min': 0.6, 'handle_prep_day_pct_min': 0.5, 'handle_prep_day_pct_max': 4.8, 'handle_prep_mcst_min_distance_pct': 0.0, 'handle_prep_break_prev_high_buffer_pct': 0.0, 'handle_prep_breakout_ceiling_pct': 5.0, 'entry_variant': 'handle_breakout_confirm', 'throwback_hold_required': False, 'rs_rating_min': 55.0, 'ret_120d_min_pct': 0.0, 'close_vs_ma120_min_pct': 0.0, 'reject_limit_like_breakout': True, 'min_score': 0.46}","[{'label': '入场语义', 'value': 'handle_breakout_confirm'}, {'label': 'MCST 模式', 'value': 'rolling_1m'}, {'label': '底部长度', 'value': '90'}, {'label': '底部宽度上限', 'value': '28.00%'}, {'label': '柄深上限', 'value': '12.00%'}, {'label': '二次突破搜索', 'value': '30'}]",杯柄 V3 柄部确认突破版，要求先突破后成柄，再在柄部后续确认突破时买入，偏严出。；股票池：宽松 A 股池，默认剔除 ST/*ST 与北交所标的。,1.168786,[]
cup_v1_legacy_parity,杯柄 V1 旧版复原,961,961,31.529656607700314,0.0167091957353923,-14.970213,-0.3208438075858105,-60.57999603352147,6.874089490114464,1.0053802987097487,129.30390492359933,-13.092550790067714,2026-04-06T21:04:01,,,"{'lookback_days': 180, 'cup_min_depth_pct': 8.0, 'cup_max_depth_pct': 45.0, 'cup_min_days': 30, 'cup_max_days': 160, 'handle_min_days': 5, 'handle_max_days': 20, 'handle_max_depth_pct': 22.0, 'rim_tolerance_pct': 8.0, 'breakout_buffer_pct': 3.0, 'confirmation_days': 3, 'confirmation_floor_pct': -2.0, 'confirmation_close_buffer_pct': 0.0, 'breakout_day_volume_ratio_min': 1.2, 'confirmation_volume_ratio_min': 1.0, 'prior_runup_lookback_days': 120, 'prior_runup_min_pct': 10.0, 'consolidation_min_days': 60, 'consolidation_width_max_pct': 35.0, 'ret_120d_min_pct': 15.0, 'close_vs_ma120_min_pct': 3.0, 'rs_rating_min': 70.0, 'use_mcst_filter': False, 'mcst_window': 20, 'mcst_min_distance_pct': 0.0, 'range_position_60_min': 0.82, 'pre_breakout_buffer_pct': -2.5, 'fake_breakout_probe_pct': 1.0, 'fake_breakout_failure_pct': -2.0, 'reject_fake_breakout': True, 'min_score': 0.55}","[{'label': 'RS 下限', 'value': '70'}, {'label': '120 日涨幅下限', 'value': '15.00%'}, {'label': '最低评分', 'value': '0.55'}]",旧版 GitHub 思路复原版，强化真突破、3日确认、假突破过滤和旧风格右侧强势约束。；股票池：宽松 A 股池，默认剔除 ST/*ST 与北交所标的。,1.082042,[]
cup_v1_legacy_mcst,杯柄 V1 旧版复原+MCST,961,961,31.529656607700314,0.0167091957353923,-14.970213,-0.3208438075858105,-60.57999603352147,6.874089490114464,1.0053802987097487,129.30390492359933,-13.092550790067714,2026-04-06T21:04:01,,,"{'lookback_days': 180, 'cup_min_depth_pct': 8.0, 'cup_max_depth_pct': 45.0, 'cup_min_days': 30, 'cup_max_days': 160, 'handle_min_days': 5, 'handle_max_days': 20, 'handle_max_depth_pct': 22.0, 'rim_tolerance_pct': 8.0, 'breakout_buffer_pct': 3.0, 'confirmation_days': 3, 'confirmation_floor_pct': -2.0, 'confirmation_close_buffer_pct': 0.0, 'breakout_day_volume_ratio_min': 1.2, 'confirmation_volume_ratio_min': 1.0, 'prior_runup_lookback_days': 120, 'prior_runup_min_pct': 10.0, 'consolidation_min_days': 60, 'consolidation_width_max_pct': 35.0, 'ret_120d_min_pct': 15.0, 'close_vs_ma120_min_pct': 3.0, 'rs_rating_min': 70.0, 'use_mcst_filter': True, 'mcst_window': 20, 'mcst_min_distance_pct': 0.0, 'require_mcst_breakout': False, 'range_position_60_min': 0.82, 'pre_breakout_buffer_pct': -2.5, 'fake_breakout_probe_pct': 1.0, 'fake_breakout_failure_pct': -2.0, 'reject_fake_breakout': True, 'min_score': 0.55}","[{'label': 'RS 下限', 'value': '70'}, {'label': '120 日涨幅下限', 'value': '15.00%'}, {'label': '最低评分', 'value': '0.55'}]",在旧版复原基础上叠加20日MCST成本线过滤，要求确认日股价站上市场平均成本近似线。；股票池：宽松 A 股池，默认剔除 ST/*ST 与北交所标的。,1.082042,[]
cup_v3_handle_prep,杯柄 V3 柄底预备,110,110,38.18181818181819,0.8099771354875261,17.357859,1.803972804985255,-13.32160082968834,4.6909090909090905,1.7861702468610383,19.38461538461538,-4.34782608695653,2026-04-08T01:57:26,20260408-014758-ba-56a2ef,official,"{'lookback_days': 260, 'base_length_days': 120, 'base_width_max_pct': 24.0, 'base_drift_max_pct': 18.0, 'washout_count_min': 1, 'washout_count_max': 5, 'washout_probe_pct': 1.0, 'washout_reentry_days': 5, 'base_dryup_mode': 'either', 'base_dryup_count_min': 0, 'base_dryup_tail_count_min': 0, 'base_dryup_vol_ratio_max': 0.7, 'base_dryup_percentile_max': 0.15, 'first_breakout_buffer_pct': 0.3, 'first_breakout_ratio_max_pct': 7.0, 'first_breakout_vol_ratio_min': 1.2, 'first_breakout_vol_ratio_max': 2.2, 'breakout_day_pct_max': 6.5, 'handle_min_days': 5, 'handle_max_days': 20, 'handle_depth_max_pct': 10.0, 'handle_bottom_dryup_required': False, 'handle_volume_contraction_ratio_max': 0.95, 'handle_range_contraction_ratio_max': 0.95, 'handle_volume_contract_share_min': 0.45, 'handle_range_contract_share_min': 0.45, 'handle_near_low_days': 2, 'pullback_min_days': 2, 'pullback_max_days': 12, 'pullback_depth_max_pct': 5.0, 'pullback_depth_rise_ratio_max': 0.6, 'pullback_stability_min': 0.3, 'pullback_volume_ratio_max': 0.95, 'second_breakout_search_days': 25, 'second_breakout_vol_ratio_min': 1.05, 'second_breakout_vol_ratio_max': 2.6, 'second_breakout_day_pct_max': 7.0, 'second_breakout_buffer_pct': 0.3, 'rim_approach_max_distance_pct': 6.0, 'mcst_mode': 'rolling_1m', 'mcst_min_distance_pct': 0.0, 'mcst_pullback_tolerance_pct': -1.0, 'handle_prep_reclaim_ratio_min': 0.35, 'handle_prep_close_strength_min': 0.6, 'handle_prep_day_pct_min': 0.5, 'handle_prep_day_pct_max': 4.8, 'handle_prep_mcst_min_distance_pct': 0.0, 'handle_prep_break_prev_high_buffer_pct': 0.0, 'handle_prep_breakout_ceiling_pct': 5.0, 'entry_variant': 'handle_prep', 'throwback_hold_required': False, 'rs_rating_min': 60.0, 'ret_120d_min_pct': 5.0, 'close_vs_ma120_min_pct': 0.0, 'reject_limit_like_breakout': True, 'min_score': 0.48}","[{'label': '入场语义', 'value': 'handle_prep'}, {'label': 'MCST 模式', 'value': 'rolling_1m'}, {'label': '底部长度', 'value': '120'}, {'label': '底部宽度上限', 'value': '24.00%'}, {'label': '柄深上限', 'value': '10.00%'}, {'label': '二次突破搜索', 'value': '25'}]",杯柄 V3 柄底预备版，要求先出现首次放量突破，再形成较宽松的柄部回调，并在柄底止跌回稳时尝试宽进。；股票池：宽松 A 股池，默认剔除 ST/*ST 与北交所标的。,1.028358,['Sharpe 最佳']
cup_v1_legacy_mcst_3m,杯柄 V1 旧版复原+MCST 3月,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-04-06T21:04:01,,,"{'lookback_days': 180, 'cup_min_depth_pct': 8.0, 'cup_max_depth_pct': 45.0, 'cup_min_days': 30, 'cup_max_days': 160, 'handle_min_days': 5, 'handle_max_days': 20, 'handle_max_depth_pct': 22.0, 'rim_tolerance_pct': 8.0, 'breakout_buffer_pct': 3.0, 'confirmation_days': 3, 'confirmation_floor_pct': -2.0, 'confirmation_close_buffer_pct': 0.0, 'breakout_day_volume_ratio_min': 1.2, 'confirmation_volume_ratio_min': 1.0, 'prior_runup_lookback_days': 120, 'prior_runup_min_pct': 10.0, 'consolidation_min_days': 60, 'consolidation_width_max_pct': 35.0, 'ret_120d_min_pct': 15.0, 'close_vs_ma120_min_pct': 3.0, 'rs_rating_min': 70.0, 'use_mcst_filter': True, 'mcst_window': 63, 'mcst_min_distance_pct': 0.0, 'require_mcst_breakout': True, 'range_position_60_min': 0.82, 'pre_breakout_buffer_pct': -2.5, 'fake_breakout_probe_pct': 1.0, 'fake_breakout_failure_pct': -2.0, 'reject_fake_breakout': True, 'min_score': 0.55}","[{'label': 'RS 下限', 'value': '70'}, {'label': '120 日涨幅下限', 'value': '15.00%'}, {'label': '最低评分', 'value': '0.55'}]",在旧版复原基础上叠加3个月MCST成本线过滤，要求信号日收盘站上当日MCST，并取消最大持仓天数上限。；股票池：宽松 A 股池，默认剔除 ST/*ST 与北交所标的。,0.0,['回撤最浅']
cup_v1_legacy_mcst_6m,杯柄 V1 旧版复原+MCST 6月,3,3,33.33333333333333,-3.184509181523994,-2.468552,-2.728484883929806,-8.107003506424482,8.333333333333334,0.19110434303414164,2.2570532915360486,-7.9999999999999964,2026-04-06T21:04:01,,,"{'lookback_days': 180, 'cup_min_depth_pct': 8.0, 'cup_max_depth_pct': 45.0, 'cup_min_days': 30, 'cup_max_days': 160, 'handle_min_days': 5, 'handle_max_days': 20, 'handle_max_depth_pct': 22.0, 'rim_tolerance_pct': 8.0, 'breakout_buffer_pct': 3.0, 'confirmation_days': 3, 'confirmation_floor_pct': -2.0, 'confirmation_close_buffer_pct': 0.0, 'breakout_day_volume_ratio_min': 1.2, 'confirmation_volume_ratio_min': 1.0, 'prior_runup_lookback_days': 120, 'prior_runup_min_pct': 10.0, 'consolidation_min_days': 60, 'consolidation_width_max_pct': 35.0, 'ret_120d_min_pct': 15.0, 'close_vs_ma120_min_pct': 3.0, 'rs_rating_min': 70.0, 'use_mcst_filter': True, 'mcst_window': 126, 'mcst_min_distance_pct': 0.0, 'require_mcst_breakout': True, 'range_position_60_min': 0.82, 'pre_breakout_buffer_pct': -2.5, 'fake_breakout_probe_pct': 1.0, 'fake_breakout_failure_pct': -2.0, 'reject_fake_breakout': True, 'min_score': 0.55}","[{'label': 'RS 下限', 'value': '70'}, {'label': '120 日涨幅下限', 'value': '15.00%'}, {'label': '最低评分', 'value': '0.55'}]",在旧版复原基础上叠加6个月MCST成本线过滤，要求信号日收盘站上当日MCST，并取消最大持仓天数上限。；股票池：宽松 A 股池，默认剔除 ST/*ST 与北交所标的。,-1.554831,[]
cup_v1_legacy_mcst_1m,杯柄 V1 旧版复原+MCST 1月,3,3,0.0,-3.956323135847665,-3.019352,-2.5236318934338833,-19.58273381294966,5.666666666666667,0.0,-0.9510869565217406,-7.9999999999999964,2026-04-06T21:04:01,,,"{'lookback_days': 180, 'cup_min_depth_pct': 8.0, 'cup_max_depth_pct': 45.0, 'cup_min_days': 30, 'cup_max_days': 160, 'handle_min_days': 5, 'handle_max_days': 20, 'handle_max_depth_pct': 22.0, 'rim_tolerance_pct': 8.0, 'breakout_buffer_pct': 3.0, 'confirmation_days': 3, 'confirmation_floor_pct': -2.0, 'confirmation_close_buffer_pct': 0.0, 'breakout_day_volume_ratio_min': 1.2, 'confirmation_volume_ratio_min': 1.0, 'prior_runup_lookback_days': 120, 'prior_runup_min_pct': 10.0, 'consolidation_min_days': 60, 'consolidation_width_max_pct': 35.0, 'ret_120d_min_pct': 15.0, 'close_vs_ma120_min_pct': 3.0, 'rs_rating_min': 70.0, 'use_mcst_filter': True, 'mcst_window': 21, 'mcst_min_distance_pct': 0.0, 'require_mcst_breakout': True, 'range_position_60_min': 0.82, 'pre_breakout_buffer_pct': -2.5, 'fake_breakout_probe_pct': 1.0, 'fake_breakout_failure_pct': -2.0, 'reject_fake_breakout': True, 'min_score': 0.55}","[{'label': 'RS 下限', 'value': '70'}, {'label': '120 日涨幅下限', 'value': '15.00%'}, {'label': '最低评分', 'value': '0.55'}]",在旧版复原基础上叠加1个月MCST成本线过滤，要求信号日收盘站上当日MCST，并取消最大持仓天数上限。；股票池：宽松 A 股池，默认剔除 ST/*ST 与北交所标的。,-1.886439,[]
