strategy_id,strategy_name,trade_count,avg_return_pct,p25_return_pct,p50_return_pct,p75_return_pct,p90_return_pct,avg_hold_days,top5_profit_share_pct
cup_v3_handle_breakout_confirm,杯柄 V3 柄部确认突破,269,0.861872,-2.115028,-0.212993,2.674419,6.666667,5.092937,16.402128
cup_v3_handle_prep,杯柄 V3 柄底预备,110,0.809977,-1.606149,-0.785616,1.0,6.099555,4.690909,35.717644
box_rebound_v1,箱体反抽 V1,21144,0.372616,-6.0,-6.0,3.764876,12.53494,13.422153,1.412255
cup_v1_legacy_parity,杯柄 V1 旧版复原,961,0.016709,-5.601852,-2.205882,1.241927,9.194855,6.874089,16.305684
cup_v1_legacy_mcst,杯柄 V1 旧版复原+MCST,961,0.016709,-5.601852,-2.205882,1.241927,9.194855,6.874089,16.305684
cup_v1_legacy_mcst_3m,杯柄 V1 旧版复原+MCST 3月,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cup_v1_strict_breakout,杯柄 V1 严格突破,19055,-0.044155,-6.0,-6.0,3.046388,10.562001,10.091472,1.34042
cup_v2_trend_scored,杯柄 V2 趋势增强,10779,-0.133682,-4.307384,-2.008507,0.946954,7.207721,8.863624,5.09332
cup_v1_legacy_mcst_6m,杯柄 V1 旧版复原+MCST 6月,3,-3.184509,-5.90529,-3.810581,-0.776764,1.043526,8.333333,100.0
cup_v1_legacy_mcst_1m,杯柄 V1 旧版复原+MCST 1月,3,-3.956323,-5.458941,-2.917882,-1.934485,-1.344446,5.666667,0.0
